Seconds,X(m),Y(m),Z(m)
0.0,-0.2900634249471461,-0.06303854875283449,0.0
0.024,-0.2951374207188162,-0.0675736961451247,0.0
0.04,-0.3002114164904863,-0.07210884353741498,0.0
0.048,-0.3069767441860467,-0.0784580498866213,0.0
0.056,-0.31374207188160685,-0.08299319727891158,0.0
0.065,-0.32050739957716723,-0.08843537414965985,0.0
0.072,-0.3272727272727274,-0.09387755102040818,0.0
0.08,-0.33403805496828776,-0.0984126984126984,0.0
0.088,-0.33911205073995787,-0.10294784580498867,0.0
0.096,-0.345877378435518,-0.10839002267573694,0.0
0.105,-0.35095137420718836,-0.11383219954648527,0.0
0.112,-0.3560253699788585,-0.11927437641723354,0.0
0.12,-0.3610993657505286,-0.12562358276643992,0.0
0.128,-0.369556025369979,-0.1346938775510204,0.0
0.136,-0.3746300211416491,-0.14285714285714285,0.0
0.144,-0.37970401691331945,-0.15011337868480726,0.0
0.152,-0.38308668076109953,-0.15918367346938778,0.0
0.16,-0.38816067653276964,-0.1673469387755102,0.0
0.168,-0.3915433403805497,-0.17369614512471657,0.0
0.176,-0.39661733615222006,-0.18004535147392292,0.0
0.192,-0.3983086680761101,-0.18548752834467122,0.0
0.216,-0.40000000000000013,-0.19002267573696147,0.0
0.328,-0.38816067653276964,-0.1873015873015873,0.0
0.344,-0.3780126849894292,-0.18276643990929706,0.0
0.352,-0.36786469344608896,-0.1782312925170068,0.0
0.368,-0.3492600422832983,-0.16916099773242632,0.0
0.376,-0.33742071881606783,-0.1619047619047619,0.0
0.384,-0.32219873150105727,-0.15555555555555556,0.0
0.392,-0.3120507399577168,-0.15011337868480726,0.0
0.4,-0.30190274841437637,-0.14739229024943312,0.0
0.416,-0.29175475687103614,-0.14013605442176874,0.0
0.424,-0.27991543340380565,-0.1328798185941043,0.0
0.432,-0.26807610993657516,-0.12743764172335603,0.0
0.44,-0.25961945031712474,-0.12380952380952381,0.0
0.449,-0.24947145877378452,-0.11655328798185943,0.0
0.456,-0.2410147991543341,-0.11020408163265305,0.0
0.466,-0.2291754756871036,-0.10294784580498867,0.0
0.472,-0.2156448202959833,-0.09387755102040818,0.0
0.48,-0.20549682875264286,-0.0875283446712018,0.0
0.488,-0.19704016913319244,-0.08299319727891158,0.0
0.504,-0.18181818181818188,-0.07755102040816325,0.0
0.896,-0.1699788583509514,-0.0784580498866213,0.0
0.912,-0.15983086680761116,-0.08390022675736963,0.0
0.92,-0.15306553911205079,-0.08843537414965985,0.0
0.928,-0.1446088794926006,-0.09297052154195012,0.0
0.936,-0.13615221987315018,-0.09659863945578234,0.0
0.944,-0.1276955602537,-0.1002267573696145,0.0
0.96,-0.11754756871035954,-0.10385487528344672,0.0
0.976,-0.10739957716701909,-0.10748299319727894,0.0
1.0,-0.0989429175475689,-0.1111111111111111,0.0
1.017,-0.08879492600422845,-0.11383219954648527,0.0
1.032,-0.078646934460888,-0.11564625850340138,0.0
1.04,-0.0701902748414378,-0.11746031746031749,0.0
1.056,-0.05158562367864694,-0.11746031746031749,0.0
1.072,-0.039746300211416674,-0.11927437641723354,0.0
1.08,-0.027906976744186185,-0.1201814058956916,0.0
1.088,-0.019450317124735772,-0.12108843537414965,0.0
1.104,-0.005919661733615245,-0.1219954648526077,0.0
1.12,0.004228329809724984,-0.1219954648526077,0.0
1.144,0.014376321353065435,-0.1219954648526077,0.0
1.16,0.024524312896405887,-0.1219954648526077,0.0
1.176,0.038054968287526414,-0.1219954648526077,0.0
1.192,0.05327695560253698,-0.1219954648526077,0.0
1.2,0.06173361522198717,-0.1219954648526077,0.0
1.208,0.07188160676532762,-0.1219954648526077,0.0
1.217,0.08879492600422823,-0.1201814058956916,0.0
1.224,0.10570824524312883,-0.11836734693877554,0.0
1.233,0.12431289640591947,-0.11383219954648527,0.0
1.24,0.13784355179704,-0.11201814058956916,0.0
1.248,0.15475687103594082,-0.10839002267573694,0.0
1.256,0.1699788583509514,-0.10566893424036283,0.0
1.264,0.17843551797040158,-0.10385487528344672,0.0
1.28,0.186892177589852,-0.10113378684807256,0.0
1.305,0.19704016913319222,-0.09659863945578234,0.0
1.336,0.20549682875264264,-0.09115646258503401,0.0
1.368,0.21057082452431275,-0.08662131519274374,0.0
1.392,0.2156448202959831,-0.08117913832199547,0.0
1.418,0.2207188160676532,-0.0766439909297052,0.0
1.456,0.22748414376321335,-0.07120181405895692,0.0
1.608,0.2376321353065538,-0.0784580498866213,0.0
1.624,0.24270613107822392,-0.08390022675736963,0.0
1.633,0.24778012684989426,-0.08843537414965985,0.0
1.64,0.25116279069767433,-0.09297052154195012,0.0
1.648,0.2579281183932345,-0.0984126984126984,0.0
1.656,0.2630021141649048,-0.10476190476190478,0.0
1.664,0.269767441860465,-0.1111111111111111,0.0
1.672,0.2782241014799154,-0.11655328798185943,0.0
1.68,0.2866807610993656,-0.12380952380952381,0.0
1.688,0.29344608879492595,-0.13197278911564625,0.0
1.696,0.3035940803382664,-0.1392290249433107,0.0
1.704,0.3120507399577166,-0.14739229024943312,0.0
1.712,0.31881606765327697,-0.15283446712018142,0.0
1.72,0.3289640591966172,-0.1600907029478458,0.0
1.728,0.3357293868921776,-0.1673469387755102,0.0
1.736,0.3408033826638477,-0.1727891156462585,0.0
1.744,0.34756871035940806,-0.1782312925170068,0.0
1.752,0.35095137420718814,-0.18276643990929706,0.0
1.76,0.3577167019027483,-0.1891156462585034,0.0
1.776,0.3661733615221987,-0.19546485260770977,0.0
1.784,0.3712473572938688,-0.2,0.0
1.936,0.37632135306553893,-0.19546485260770977,0.0
1.952,0.37632135306553893,-0.19002267573696147,0.0
1.96,0.37632135306553893,-0.18548752834467122,0.0
1.968,0.37632135306553893,-0.18004535147392292,0.0
1.976,0.37632135306553893,-0.17460317460317462,0.0
1.984,0.37632135306553893,-0.16916099773242632,0.0
1.992,0.37632135306553893,-0.16371882086167802,0.0
2.0,0.37632135306553893,-0.15827664399092972,0.0
2.018,0.37632135306553893,-0.14739229024943312,0.0
2.024,0.37632135306553893,-0.1419501133786848,0.0
2.04,0.37632135306553893,-0.13197278911564625,0.0
2.048,0.37632135306553893,-0.12562358276643992,0.0
2.056,0.37632135306553893,-0.1201814058956916,0.0
2.064,0.37632135306553893,-0.1111111111111111,0.0
2.072,0.37632135306553893,-0.10566893424036283,0.0
2.08,0.37632135306553893,-0.0984126984126984,0.0
2.088,0.37632135306553893,-0.09387755102040818,0.0
2.096,0.37632135306553893,-0.08843537414965985,0.0
2.104,0.37632135306553893,-0.08390022675736963,0.0
2.112,0.37632135306553893,-0.07755102040816325,0.0
2.128,0.3780126849894292,-0.07120181405895692,0.0
2.144,0.3780126849894292,-0.0657596371882086,0.0
2.168,0.37970401691331923,-0.05941043083900227,0.0
2.184,0.3830866807610993,-0.054875283446712,0.0
2.552,0.38477801268498935,-0.049433106575963726,0.0
2.592,0.38985200845665946,-0.0439909297052154,0.0
2.624,0.3915433403805497,-0.038548752834467126,0.0
2.648,0.39323467230443976,-0.03401360544217685,0.0
2.664,0.3949260042283298,-0.029478458049886636,0.0
2.68,0.39661733615221983,-0.023129251700680253,0.0
2.696,0.3983086680761099,-0.018594104308390036,0.0
2.712,0.3999999999999999,-0.012244897959183654,0.0
2.728,0.3999999999999999,-0.005895691609977327,0.0
2.744,0.3999999999999999,0.0031746031746031633,0.0
2.76,0.3999999999999999,0.012244897959183654,0.0
2.768,0.3999999999999999,0.016780045351473927,0.0
2.776,0.3999999999999999,0.0222222222222222,0.0
2.785,0.3999999999999999,0.026757369614512472,0.0
2.792,0.3999999999999999,0.0321995464852608,0.0
2.801,0.3999999999999999,0.03764172335600907,0.0
2.808,0.3999999999999999,0.0430839002267574,0.0
2.816,0.3999999999999999,0.04852607709750567,0.0
2.824,0.3999999999999999,0.053968253968254,0.0
2.832,0.3983086680761099,0.058503401360544216,0.0
2.84,0.3983086680761099,0.06394557823129254,0.0
2.848,0.39323467230443976,0.06938775510204082,0.0
2.856,0.3915433403805497,0.07392290249433109,0.0
2.864,0.38985200845665946,0.0784580498866213,0.0
2.872,0.3830866807610993,0.08299319727891158,0.0
2.88,0.38139534883720927,0.0875283446712018,0.0
2.888,0.37632135306553893,0.09206349206349207,0.0
2.896,0.37293868921775886,0.09750566893424034,0.0
2.904,0.3661733615221987,0.10385487528344672,0.0
2.912,0.3627906976744186,0.108390022675737,0.0
2.92,0.3577167019027483,0.11473922902494332,0.0
2.928,0.3526427061310782,0.11927437641723354,0.0
2.944,0.3424947145877377,0.12653061224489798,0.0
2.96,0.33403805496828753,0.13378684807256241,0.0
2.976,0.3255813953488371,0.13922902494331063,0.0
2.992,0.3171247357293867,0.14557823129251707,0.0
3.008,0.31035940803382656,0.15102040816326529,0.0
3.024,0.3035940803382664,0.1555555555555556,0.0
3.048,0.29344608879492595,0.16190476190476194,0.0
3.064,0.2866807610993656,0.16643990929705216,0.0
3.088,0.2748414376321353,0.17278911564625848,0.0
3.104,0.2663847780126849,0.1755102040816327,0.0
3.12,0.25623678646934445,0.1782312925170068,0.0
3.136,0.24270613107822392,0.18185941043083903,0.0
3.152,0.23086680761099365,0.18639455782312925,0.0
3.168,0.2207188160676532,0.18911564625850336,0.0
3.185,0.2122621564482028,0.19183673469387758,0.0
3.201,0.20211416490486256,0.19274376417233557,0.0
3.224,0.18520084566596196,0.1954648526077098,0.0
3.24,0.17336152219873147,0.1972789115646259,0.0
3.248,0.16490486257928105,0.199092970521542,0.0
3.264,0.15644820295983086,0.2,0.0
3.28,0.14799154334038045,0.2,0.0
3.296,0.13615221987314996,0.2,0.0
3.312,0.12769556025369977,0.2,0.0
3.328,0.11754756871035932,0.2,0.0
3.353,0.10570824524312883,0.2,0.0
3.369,0.09386892177589834,0.2,0.0
3.385,0.08202959830866807,0.199092970521542,0.0
3.4,0.0668076109936575,0.1981859410430839,0.0
3.408,0.058350951374207094,0.1981859410430839,0.0
3.416,0.046511627906976605,0.1972789115646259,0.0
3.424,0.038054968287526414,0.1954648526077098,0.0
3.432,0.027906976744185963,0.19365079365079368,0.0
3.44,0.01945031712473555,0.19274376417233557,0.0
3.448,0.005919661733615023,0.19002267573696147,0.0
3.464,-0.010993657505285581,0.18820861678004536,0.0
3.472,-0.019450317124735772,0.18548752834467125,0.0
3.48,-0.027906976744186185,0.18458049886621314,0.0
3.488,-0.038054968287526636,0.18367346938775514,0.0
3.496,-0.048202959830866865,0.18095238095238092,0.0
3.512,-0.06342494714587743,0.18004535147392292,0.0
3.52,-0.07188160676532784,0.1782312925170068,0.0
3.536,-0.08202959830866807,0.1764172335600907,0.0
3.552,-0.09217758985200852,0.1736961451247166,0.0
3.576,-0.10401691331923901,0.17006802721088438,0.0
3.6,-0.11923890063424958,0.16553287981859416,0.0
3.616,-0.13107822410148007,0.16190476190476194,0.0
3.632,-0.1446088794926006,0.1573696145124716,0.0
3.648,-0.15475687103594082,0.1546485260770975,0.0
3.664,-0.1665961945031713,0.15102040816326529,0.0
3.688,-0.1784355179704018,0.14829931972789118,0.0
3.704,-0.1902748414376323,0.14376417233560096,0.0
3.72,-0.20211416490486278,0.14285714285714285,0.0
3.736,-0.21057082452431297,0.13922902494331063,0.0
3.752,-0.21902748414376338,0.13650793650793652,0.0
3.769,-0.2291754756871036,0.13378684807256241,0.0
3.792,-0.23932346723044406,0.12925170068027209,0.0
3.816,-0.24947145877378452,0.12380952380952387,0.0
3.84,-0.25961945031712474,0.11746031746031743,0.0
3.856,-0.26807610993657516,0.1111111111111111,0.0
3.88,-0.27484143763213553,0.10385487528344672,0.0
3.896,-0.27991543340380565,0.09569160997732429,0.0
3.904,-0.28498942917547576,0.09115646258503401,0.0
3.921,-0.2900634249471461,0.08208616780045352,0.0
3.928,-0.29175475687103614,0.07755102040816325,0.0
3.944,-0.2951374207188162,0.07120181405895692,0.0
3.953,-0.3002114164904863,0.06666666666666665,0.0
3.969,-0.3035940803382664,0.060317460317460325,0.0
3.976,-0.3069767441860467,0.05578231292517005,0.0
3.992,-0.30866807610993674,0.04852607709750567,0.0
4.009,-0.3103594080338268,0.042176870748299344,0.0
4.024,-0.3103594080338268,0.03582766439909296,0.0
4.032,-0.31374207188160685,0.03038548752834469,0.0
4.048,-0.3154334038054969,0.024943310657596363,0.0
4.064,-0.3154334038054969,0.020408163265306145,0.0
4.08,-0.31712473572938693,0.013151927437641708,0.0
4.096,-0.31712473572938693,0.006802721088435382,0.0
4.112,-0.31712473572938693,0.0022675736961451087,0.0
4.128,-0.31712473572938693,-0.0022675736961451087,0.0
4.153,-0.31712473572938693,-0.006802721088435382,0.0
4.175,-0.31712473572938693,-0.013151927437641708,0.0
4.208,-0.3154334038054969,-0.01950113378684809,0.0
4.232,-0.3120507399577168,-0.024036281179138308,0.0
